id,total_len,nb_groups,len_groups,max_len_group
Level 3 Communications,344,31,"[6, 6, 4, 7, 5, 4, 15, 5, 4, 10, 10, 8, 6, 6, 8, 4, 8, 4, 9, 34, 34, 14, 26, 18, 16, 14, 18, 26, 4, 4, 7]",34
Mannesmann,333,22,"[7, 8, 12, 10, 8, 12, 29, 12, 19, 28, 25, 34, 13, 15, 20, 19, 6, 6, 12, 8, 10, 20]",34
Markant,151,33,"[4, 4, 6, 6, 4, 4, 3, 3, 6, 6, 6, 6, 2, 2, 3, 4, 4, 4, 6, 6, 4, 5, 6, 6, 2, 2, 6, 6, 5, 5, 5, 5, 5]",6
Mansfelder Kupfer und Messing GmbH,224,26,"[13, 10, 7, 9, 21, 21, 9, 6, 4, 8, 4, 8, 8, 9, 6, 8, 8, 8, 18, 3, 6, 6, 6, 6, 6, 6]",21
McMakler,98,10,"[14, 14, 12, 5, 13, 10, 9, 9, 6, 6]",14
Leistritz Group,126,14,"[5, 5, 14, 15, 11, 10, 11, 6, 6, 12, 11, 4, 8, 8]",15
Medialinx,165,18,"[5, 6, 6, 5, 12, 6, 5, 5, 7, 4, 8, 6, 8, 13, 24, 9, 17, 19]",24
Mercateo,164,15,"[7, 7, 12, 16, 17, 16, 16, 9, 22, 8, 8, 8, 8, 6, 4]",22
Masterrind,416,85,"[10, 13, 9, 13, 9, 5, 11, 6, 5, 5, 4, 4, 6, 5, 4, 6, 7, 9, 6, 3, 8, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 4, 3, 3, 3, 4, 3, 2, 3, 4, 4, 3, 3, 4, 6, 6, 4, 4, 5, 6, 4, 4, 8, 4, 3, 4, 8, 3, 3, 6, 8, 6, 3, 6, 3, 6, 8, 8, 3, 3, 8, 3, 3, 6, 3, 6]",13
Merck KGaA,107,5,"[25, 16, 26, 13, 27]",27
Metro AG,123,10,"[16, 10, 10, 12, 10, 19, 10, 16, 10, 10]",19
Michael Weinig AG,103,9,"[16, 11, 18, 13, 12, 10, 5, 5, 13]",18
Messer Cutting Systems,226,28,"[7, 3, 3, 11, 9, 13, 15, 15, 9, 3, 6, 8, 11, 3, 7, 7, 7, 9, 8, 13, 10, 10, 10, 10, 6, 3, 6, 4]",15
MSG Systems,58,5,"[14, 15, 16, 7, 6]",16
Mitropa,96,10,"[13, 13, 23, 9, 8, 6, 6, 6, 6, 6]",23
Multiconnect,164,29,"[2, 4, 7, 7, 8, 8, 8, 8, 5, 3, 10, 10, 5, 5, 5, 5, 4, 6, 4, 2, 8, 5, 4, 2, 2, 9, 7, 7, 4]",10
Mona Allgäu,406,30,"[27, 20, 6, 10, 10, 18, 10, 12, 30, 30, 16, 20, 28, 16, 10, 10, 25, 10, 6, 6, 8, 4, 4, 8, 8, 10, 10, 10, 10, 14]",30
NCR Corporation,84,6,"[16, 15, 10, 10, 16, 17]",17
Nehlsen,118,13,"[9, 5, 5, 4, 4, 10, 5, 12, 14, 9, 14, 15, 12]",15
Nolte Küchen,169,20,"[14, 5, 4, 7, 4, 11, 7, 7, 16, 5, 7, 9, 3, 3, 8, 11, 11, 13, 13, 11]",16
NRV-Rechtsschutz,148,17,"[11, 8, 14, 8, 11, 11, 8, 8, 4, 8, 8, 9, 9, 8, 10, 7, 6]",14
MWB Motorenwerke Bremerhaven AG,562,50,"[7, 13, 9, 17, 5, 5, 4, 17, 5, 17, 12, 4, 5, 28, 18, 12, 16, 10, 18, 18, 14, 15, 16, 14, 18, 20, 14, 10, 18, 14, 18, 14, 18, 16, 14, 15, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",28
Orafol,229,27,"[10, 6, 11, 11, 10, 10, 6, 6, 7, 7, 10, 11, 6, 8, 7, 7, 3, 5, 24, 24, 5, 3, 4, 4, 13, 4, 7]",24
OTRAG,82,11,"[5, 14, 5, 9, 8, 6, 5, 6, 11, 7, 6]",14
PD – Berater der öffentlichen Hand,57,7,"[20, 8, 5, 3, 7, 5, 9]",20
Paulmann Licht,478,15,"[87, 28, 7, 7, 25, 24, 24, 25, 25, 9, 37, 19, 77, 64, 20]",87
Pax,348,26,"[11, 8, 12, 10, 6, 5, 4, 4, 26, 26, 26, 14, 14, 10, 15, 15, 6, 6, 6, 10, 18, 22, 22, 22, 15, 15]",26
Pfalzmarkt,160,16,"[16, 8, 8, 5, 13, 10, 4, 14, 12, 18, 10, 13, 4, 11, 9, 5]",18
PIN Group,112,13,"[5, 15, 11, 7, 19, 10, 5, 6, 7, 10, 5, 6, 6]",19
powwow,92,8,"[33, 12, 7, 7, 17, 6, 5, 5]",33
Preussag,231,10,"[59, 57, 11, 11, 13, 23, 11, 15, 25, 6]",59
ProSiebenSat.1 Sports,91,11,"[4, 13, 8, 6, 14, 9, 13, 6, 7, 6, 5]",14
ProSiebenSat.1 Media SE,243,34,"[9, 4, 6, 10, 10, 8, 7, 7, 5, 4, 8, 8, 10, 11, 13, 5, 6, 6, 6, 4, 6, 4, 4, 9, 10, 14, 4, 6, 8, 10, 3, 6, 6, 6]",14
Puma SE,62,6,"[9, 10, 14, 5, 8, 16]",16
Pro optik,272,37,"[4, 12, 15, 10, 11, 7, 7, 12, 5, 10, 10, 7, 7, 12, 12, 7, 7, 6, 6, 6, 6, 4, 5, 10, 2, 2, 10, 10, 10, 10, 3, 4, 7, 7, 4, 3, 2]",15
R+V Versicherung,32,1,[32],32
Q1 Energie,72,4,"[13, 24, 10, 25]",25
Remondis,123,16,"[9, 4, 5, 4, 4, 5, 5, 5, 8, 12, 12, 13, 14, 11, 5, 7]",14
Raytheon Anschütz,176,22,"[16, 10, 11, 3, 12, 11, 3, 3, 6, 8, 3, 3, 14, 4, 16, 9, 8, 13, 8, 3, 7, 5]",16
Makro,926,24,"[47, 47, 29, 29, 50, 50, 73, 73, 33, 33, 48, 48, 49, 15, 15, 15, 45, 18, 18, 18, 44, 30, 70, 29]",73
Renolit,133,15,"[13, 13, 13, 11, 7, 13, 11, 7, 9, 5, 13, 4, 6, 6, 2]",13
Ruf Lebensmittelwerk,97,8,"[21, 6, 6, 13, 14, 13, 13, 11]",21
Rheinmetall Automotive,373,29,"[11, 9, 10, 22, 12, 18, 22, 10, 14, 14, 14, 24, 24, 16, 6, 6, 4, 4, 11, 22, 12, 14, 10, 22, 14, 14, 4, 4, 6]",24
SAP SE,78,8,"[10, 33, 7, 7, 6, 4, 7, 4]",33
Sana Clinics,117,10,"[10, 24, 4, 5, 12, 17, 16, 17, 6, 6]",24
SCHEUERLE vehicles,156,14,"[9, 8, 15, 14, 13, 14, 14, 13, 7, 14, 13, 8, 5, 9]",15
SchmitterGroup,214,24,"[5, 10, 16, 6, 8, 8, 4, 13, 13, 8, 5, 9, 9, 6, 6, 6, 4, 7, 8, 10, 6, 13, 23, 11]",23
SCHOTT-Rohrglas GmbH,73,7,"[8, 13, 12, 9, 13, 9, 9]",13
Rothenberger,711,59,"[18, 18, 10, 18, 10, 18, 26, 26, 22, 26, 26, 6, 19, 6, 6, 6, 6, 4, 6, 10, 18, 10, 24, 10, 10, 24, 24, 28, 18, 12, 14, 28, 12, 12, 14, 14, 8, 18, 10, 10, 4, 14, 4, 4, 4, 4, 8, 8, 8, 4, 4, 4, 10, 4, 4, 4, 4, 4, 6]",28
Schüco,112,10,"[5, 5, 5, 22, 14, 13, 14, 10, 10, 14]",22
Rimowa,240,9,"[18, 49, 60, 31, 13, 25, 16, 17, 11]",60
Schuler Group,130,10,"[16, 18, 7, 18, 14, 13, 13, 11, 13, 7]",18
Seele GmbH,73,8,"[5, 12, 12, 12, 14, 6, 6, 6]",14
SGL Carbon SE,139,15,"[11, 7, 7, 8, 12, 13, 12, 11, 8, 13, 9, 8, 8, 8, 4]",13
