filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_03_1,7,10.117898,4.2360787,11.192002,3.9209216,0.90536195,1.5348922,-0.8906018,-2.2745404,0.026803194,-1.5031538,-0.104561865,-0.14488152,1.5671792,-0.33601302,-1.5047722,0,1.0,1.0,197,0,123,236,116,4,0.11370964945737008,0.21117649513793293
L_7sins_03_1,9,-5.6200557,-5.8555617,4.609853,-2.281365,1.1298398,1.6539737,0.7430571,0.62365866,-0.498384,0.13389839,1.3897411,0.08727178,-0.010610522,-0.24145176,-0.09510858,0,1.0,1.0,197,0,123,236,116,4,0.05355331428913167,0.05065275918703748
L_7sins_03_2,0,0.22470446,1.369535,0.68388575,10.399137,-2.7210696,9.059285,-3.3585465,1.8889227,-0.32452688,-2.0215538,-0.97052157,-0.74050844,-0.34387612,-0.07880421,0.066595495,0,1.0,1.0,197,0,123,197,0,123,0.9828716063936757,0.8843929674954495
L_7sins_03_2,1,-0.62314135,6.669495,4.4267573,8.270395,-3.03832,8.161145,-3.07608,1.3510637,0.19950086,-1.8007632,-1.1186482,-0.5433464,0.109256655,0.095971085,0.27511153,0,1.0,1.0,250,187,0,250,187,0,0.6535834402413229,0.5881170274919081
L_7sins_03_2,10,-1.9333434,-16.13378,1.1661469,2.8513978,3.6436052,-1.0573164,-0.41950127,0.14122875,-0.43363312,-0.19565256,-0.38320628,0.35613233,-0.37369442,0.19588044,0.30392882,0,1.0,1.0,236,116,4,250,187,0,0.047761866786865836,0.053910172486159494
L_7sins_03_2,12,-2.406204,-11.365989,4.113733,-0.4572064,3.1579726,1.1687824,1.8399789,-0.2884762,0.060300857,-0.52256465,0.64544266,-0.1162493,-0.14676619,-0.69646376,0.2304186,0,1.0,1.0,236,116,4,250,187,0,0.04877582368050001,0.05451165515621666
L_7sins_03_2,14,7.6644,-7.911957,3.547321,-0.43012705,2.1632333,-0.1612334,-1.4190496,-0.83361363,-0.427586,0.052460004,0.031763263,-0.34977844,0.25265515,0.0640833,-0.23424302,0,1.0,1.0,236,116,4,250,187,0,0.0426868216321676,0.05730974586313208
L_7sins_03_2,13,4.8388133,-13.350882,3.4580617,2.9761412,3.7296536,-1.4352025,-0.55357426,-1.1614931,0.58515996,-0.7798047,-0.5552532,0.32579416,-0.83250767,0.31452397,0.26298147,0,1.0,1.0,236,116,4,250,187,0,0.05239367777915007,0.056110965819667624
L_7sins_03_2,15,7.022106,-12.003948,4.207343,3.4894,4.7744594,-2.0522153,-0.26049206,-1.3867481,0.4729929,-1.3659893,-0.7822563,0.4122874,-1.0215697,0.682843,0.7029528,0,1.0,1.0,236,116,4,250,187,0,0.040811080637465934,0.05992880156606004
L_7sins_03_2,16,10.734567,-13.232177,0.3566953,4.781055,4.049541,-1.8902588,-0.06460662,-0.4750622,0.73586,-0.7602823,-1.0118934,0.46932986,-0.55096453,0.33650792,0.6507045,0,1.0,1.0,236,116,4,250,187,0,0.05399491912812922,0.05484631231284704
