,filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,nr_commands
3073,logo_34,60,-7.9167852,-2.4855905,-0.81598765,-1.6419921,-0.083661675,-0.3316863,0.13106662,0.4564747,-0.3729217,-0.3006259,-0.0010767005,0.0006332132,0.25212756,0.044818122,-0.15236674,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.01055062053041721,0.009807783204663623,0.062053041721450784,-0.012466519615566404,138,5
3074,logo_34,62,-8.766689,-1.265015,-0.55480486,-1.685326,0.21387321,-0.12686038,0.42062166,0.65200335,-0.20100404,-0.035399985,-0.1185816,0.008677616,0.23113528,0.043987043,-0.15265389,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.015072315043453171,0.00480541988340948,0.043902126158483774,0.00961083976681896,138,5
3075,logo_34,61,-11.436186,-2.8182926,-1.258474,0.28726694,-0.40583935,-0.27888972,0.11536494,0.13237087,-0.42143667,-0.30457222,-0.051938467,0.06204392,-0.04743935,0.055140335,-0.09353313,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.012378539588878626,0.01867023790767291,0.05052432415097967,-0.007523239325665669,138,5
3076,logo_34,63,-12.553558,5.3955207,0.6266367,0.9250309,-0.6196632,0.056958403,0.73842514,0.22578003,-0.12323738,0.19137244,-0.055988066,-0.08220768,0.20521326,0.06343299,0.080066584,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.017413334188500145,0.0026026275269258096,0.05010743033062886,0.006537035062754199,138,5
3077,logo_34,64,-4.1665196,1.99801,0.23522444,-2.781621,0.0062383325,-0.39730972,0.18142594,0.51449925,-0.11140347,-0.34596026,0.10981547,0.051108062,0.30411187,0.1107452,-0.123652674,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.011961645768527717,0.006065857885615246,0.05709841901035821,-0.005475027572081294,138,5
3078,logo_34,65,-4.297239,0.85083,-0.058723494,-2.6721594,0.0064023244,-0.4664102,0.06674825,0.3872302,-0.23667996,-0.36874586,0.14631993,0.008446892,0.32017478,0.0027374933,-0.14903274,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.014559214956867525,0.0035843705687726457,0.05286534329602667,0.0005317472821805575,138,5
3079,logo_34,66,-5.2577133,7.6444116,1.2945863,-1.678432,-0.3745729,-0.37074482,0.24006449,0.37285742,0.04736277,-0.34755206,-0.038699772,-0.028291894,0.24147648,0.326375,0.17722663,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.014960074399512555,0.0236332125413581,0.03461020427797197,-0.0009453285016543232,138,5
3080,logo_34,67,-8.4489,3.5112703,0.52942204,-1.4021752,-0.17172678,-0.31773454,0.12286155,0.24697219,-0.19572636,-0.23899794,0.04998914,-0.060309052,0.24182598,0.040675074,-0.022034818,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.014960074399512616,0.0236332125413581,0.03081005676169708,-0.0003938868756893003,138,5
3081,logo_34,68,-6.6973724,9.104677,1.5857404,-1.1835687,-0.20005742,-0.07970004,0.40481508,0.4234524,0.33967307,0.05552179,-0.24439107,-0.11573089,0.0627003,0.36907864,0.18631597,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.01738126543308855,0.005790137072632741,0.03843440336080556,0.013057349929100346,138,5
3082,logo_34,7,-14.707883,0.32186365,-0.92427224,2.749263,-0.6302167,0.011383584,0.40409568,-0.15505314,-0.1363904,0.085596755,-0.15403141,-0.09524318,-0.52556425,0.101907276,-0.103486,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.01638713401532886,0.02434220891759886,-0.033399608761183974,0.03493776587364106,138,4
