id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_133,126,7,"[25, 19, 19, 21, 21, 14, 7]",25,"[P(10.434188842773438, 10.513399124145508), P(4.518483638763428, 10.592180252075195), P(13.871929168701172, 10.592206954956055), P(6.9139885902404785, 10.599356651306152), P(16.257890701293945, 10.599356651306152), P(18.12276268005371, 10.599356651306152), P(12.374375343322754, 12.095027923583984)]"
logo_135,148,7,"[17, 22, 35, 17, 22, 22, 13]",35,"[P(4.382559776306152, 10.69076919555664), P(6.731645584106445, 10.69076919555664), P(9.090166091918945, 10.69076919555664), P(13.541136741638184, 10.69076919555664), P(15.85331916809082, 10.69076919555664), P(17.94316291809082, 10.69076919555664), P(11.40245532989502, 11.824498176574707)]"
logo_137,72,7,"[9, 13, 15, 9, 13, 8, 5]",15,"[P(4.389493942260742, 10.210776329040527), P(6.861924171447754, 10.210776329040527), P(10.61900520324707, 10.210776329040527), P(14.055373191833496, 10.211098670959473), P(16.52775001525879, 10.211098670959473), P(18.294113159179688, 10.211098670959473), P(12.042777061462402, 11.629441261291504)]"
logo_138,117,7,"[15, 15, 13, 25, 19, 25, 5]",25,"[P(4.386456489562988, 10.790864944458008), P(13.331055641174316, 10.790864944458008), P(17.81747817993164, 10.790864944458008), P(6.794083595275879, 10.790891647338867), P(8.636029243469238, 10.790891647338867), P(15.738710403442383, 10.790891647338867), P(11.991144180297852, 12.190930366516113)]"
logo_136,98,8,"[17, 17, 12, 12, 18, 8, 5, 9]",18,"[P(5.159558296203613, 9.643106460571289), P(14.831377029418945, 9.643106460571289), P(8.018607139587402, 9.713876724243164), P(17.690452575683594, 9.713876724243164), P(8.751471519470215, 9.714037895202637), P(18.188535690307617, 9.71417236328125), P(7.68910551071167, 11.514860153198242), P(17.360952377319336, 11.514860153198242)]"
logo_139,106,7,"[11, 11, 25, 25, 13, 16, 5]",25,"[P(4.386134147644043, 10.762736320495605), P(13.596292495727539, 10.762736320495605), P(6.797362804412842, 10.810311317443848), P(16.00749397277832, 10.810311317443848), P(17.817829132080078, 10.810338020324707), P(9.002730369567871, 10.810445785522461), P(11.648015022277832, 11.87818717956543)]"
logo_14,115,8,"[9, 9, 24, 13, 12, 24, 11, 13]",24,"[P(4.380863189697266, 9.715495109558105), P(18.5566463470459, 9.715495109558105), P(5.952694416046143, 11.152667999267578), P(7.650853633880615, 11.152667999267578), P(10.810375213623047, 11.152667999267578), P(13.254402160644531, 11.152667999267578), P(16.752586364746094, 11.152667999267578), P(15.326972007751465, 11.152936935424805)]"
logo_141,85,8,"[7, 9, 7, 12, 18, 10, 10, 12]",18,"[P(12.006988525390625, 4.8676252365112305), P(9.691439628601074, 6.080633640289307), P(16.908748626708984, 6.295658588409424), P(6.691573619842529, 15.07593059539795), P(10.872732162475586, 15.07593059539795), P(4.380863189697266, 15.109796524047852), P(13.612955093383789, 15.109796524047852), P(18.36446762084961, 15.109796524047852)]"
logo_140,85,8,"[7, 9, 7, 12, 18, 10, 10, 12]",18,"[P(12.000247955322266, 4.337428092956543), P(9.09237289428711, 5.804733753204346), P(17.939285278320312, 6.723440647125244), P(7.781278610229492, 16.430635452270508), P(11.075847625732422, 16.430635452270508), P(5.940399646759033, 16.457372665405273), P(13.258857727050781, 16.457372665405273), P(17.04384994506836, 16.457372665405273)]"
logo_142,85,8,"[7, 9, 7, 12, 18, 10, 10, 12]",18,"[P(12.006451606750488, 5.772610187530518), P(10.055906295776367, 6.512027263641357), P(17.506250381469727, 6.988844871520996), P(6.691573619842529, 14.170676231384277), P(10.872732162475586, 14.170676231384277), P(4.380863189697266, 14.20454216003418), P(13.612955093383789, 14.20454216003418), P(18.364198684692383, 14.20454216003418)]"
logo_145,93,8,"[5, 5, 12, 21, 18, 10, 10, 12]",21,"[P(4.380863189697266, 9.333288192749023), P(8.571428298950195, 9.333288192749023), P(7.18881893157959, 11.020964622497559), P(10.00295639038086, 11.020964622497559), P(11.313264846801758, 11.020964622497559), P(5.459212779998779, 11.041930198669434), P(13.60892391204834, 11.041930198669434), P(17.749496459960938, 11.041930198669434)]"
logo_143,101,8,"[12, 9, 16, 16, 17, 10, 16, 5]",17,"[P(8.441876411437988, 9.662544250488281), P(8.62276554107666, 11.123639106750488), P(5.053890228271484, 11.36285400390625), P(13.760248184204102, 11.376562118530273), P(10.894233703613281, 11.383281707763672), P(7.196075916290283, 11.386507034301758), P(18.351566314697266, 11.39376449584961), P(8.195135116577148, 12.747344970703125)]"
logo_146,71,8,"[5, 5, 10, 9, 10, 7, 10, 15]",15,"[P(2.00107479095459, 2.5694122314453125), P(2.0, 2.5715627670288086), P(5.1761860847473145, 9.904716491699219), P(12.000000953674316, 9.904716491699219), P(5.1761860847473145, 10.000134468078613), P(12.382744789123535, 10.390941619873047), P(18.154010772705078, 10.645209312438965), P(5.301437854766846, 10.654616355895996)]"
logo_144,186,8,"[8, 31, 32, 10, 27, 33, 15, 30]",33,"[P(12.241903305053711, 8.806343078613281), P(17.15549087524414, 11.363526344299316), P(6.328719139099121, 11.646821022033691), P(7.599516868591309, 11.647089958190918), P(10.038972854614258, 11.647090911865234), P(14.201583862304688, 11.647090911865234), P(11.309232711791992, 11.647358894348145), P(18.51148796081543, 11.664291381835938)]"
logo_147,355,8,"[239, 26, 20, 20, 20, 6, 12, 12]",239,"[P(10.253782272338867, 11.267605781555176), P(8.678497314453125, 11.284673690795898), P(13.695526123046875, 11.28741455078125), P(17.481796264648438, 11.28741455078125), P(5.133083343505859, 11.28744125366211), P(16.504608154296875, 11.525046348571777), P(14.567136764526367, 11.717549324035645), P(18.89788055419922, 11.717549324035645)]"
logo_148,675,8,"[263, 21, 21, 21, 15, 23, 119, 192]",263,"[P(4.437391757965088, 11.492953300476074), P(9.35177230834961, 11.535690307617188), P(14.432771682739258, 11.535690307617188), P(17.462417602539062, 11.535690307617188), P(16.601558685302734, 11.535717010498047), P(12.366392135620117, 11.537517547607422), P(5.74873161315918, 11.961469650268555), P(5.17592716217041, 12.604453086853027)]"
logo_149,675,8,"[263, 119, 192, 21, 21, 15, 21, 23]",263,"[P(9.233776092529297, 9.712102890014648), P(11.200276374816895, 10.414702415466309), P(10.341324806213379, 11.378962516784668), P(4.698272705078125, 13.906225204467773), P(12.08669662475586, 13.906225204467773), P(15.240411758422852, 13.906225204467773), P(16.492162704467773, 13.906225204467773), P(7.965764045715332, 13.908939361572266)]"
logo_15,106,8,"[6, 21, 21, 13, 12, 16, 11, 6]",21,"[P(18.09514808654785, 9.714151382446289), P(6.487837791442871, 11.123908042907715), P(13.83658218383789, 11.123908042907715), P(7.649778366088867, 11.134121894836426), P(10.848004341125488, 11.134121894836426), P(15.369709014892578, 11.134121894836426), P(16.721139907836914, 11.134121894836426), P(4.380863189697266, 12.761859893798828)]"
logo_150,576,8,"[20, 21, 21, 15, 21, 23, 263, 192]",263,"[P(15.250194549560547, 11.427947998046875), P(4.6257548332214355, 11.429990768432617), P(13.95347785949707, 11.429990768432617), P(16.32291030883789, 11.429990768432617), P(17.263301849365234, 11.429990768432617), P(7.080633640289307, 11.4320068359375), P(9.72164535522461, 11.49909496307373), P(10.461820602416992, 12.597102165222168)]"
logo_151,546,8,"[197, 245, 26, 20, 20, 20, 6, 12]",245,"[P(7.3323493003845215, 11.093205451965332), P(6.149191379547119, 11.836419105529785), P(11.820332527160645, 12.149067878723145), P(14.619308471679688, 12.151378631591797), P(17.812158584594727, 12.151378631591797), P(8.830520629882812, 12.151432991027832), P(16.988121032714844, 12.351783752441406), P(15.35432243347168, 12.5141019821167)]"
logo_152,396,8,"[80, 84, 21, 21, 21, 15, 23, 131]",131,"[P(6.243104934692383, 9.111008644104004), P(7.940767288208008, 10.637940406799316), P(9.35174560546875, 10.806655883789062), P(14.432744979858398, 10.806655883789062), P(17.462390899658203, 10.806655883789062), P(16.601531982421875, 10.806682586669922), P(12.366365432739258, 10.808483123779297), P(6.884018898010254, 11.690656661987305)]"
logo_154,341,8,"[84, 131, 20, 20, 21, 21, 21, 23]",131,"[P(12.925085067749023, 10.812394142150879), P(12.001519203186035, 11.730289459228516), P(19.14080810546875, 11.820089340209961), P(9.258477210998535, 11.82011604309082), P(13.505012512207031, 11.822294235229492), P(17.076229095458984, 11.822294235229492), P(4.6461286544799805, 11.822320938110352), P(7.294907569885254, 11.824524879455566)]"
logo_153,274,8,"[102, 17, 17, 10, 16, 29, 22, 61]",102,"[P(11.754366874694824, 4.372608184814453), P(4.948919773101807, 8.475017547607422), P(11.976607322692871, 8.475017547607422), P(15.037603378295898, 8.952688217163086), P(13.722622871398926, 8.952713012695312), P(8.199243545532227, 8.952713966369629), P(16.105432510375977, 8.952738761901855), P(13.409092903137207, 11.172586441040039)]"
logo_156,184,8,"[50, 54, 26, 14, 14, 14, 3, 9]",54,"[P(10.375218391418457, 8.125327110290527), P(14.316253662109375, 11.884665489196777), P(9.222728729248047, 13.929219245910645), P(5.2402472496032715, 13.932336807250977), P(12.950942039489746, 13.932336807250977), P(17.203872680664062, 13.932336807250977), P(16.106243133544922, 14.199239730834961), P(9.950889587402344, 14.517748832702637)]"
logo_155,185,8,"[5, 53, 29, 22, 22, 22, 16, 16]",53,"[P(13.08829116821289, 7.839758396148682), P(19.617979049682617, 9.58101749420166), P(8.262554168701172, 14.441936492919922), P(5.149425029754639, 14.441964149475098), P(12.083873748779297, 14.441964149475098), P(16.161909103393555, 14.441964149475098), P(13.718910217285156, 14.44198989868164), P(18.642969131469727, 14.44198989868164)]"
logo_158,126,8,"[5, 16, 20, 17, 21, 17, 17, 13]",21,"[P(10.950549125671387, 10.290067672729492), P(15.501267433166504, 12.239633560180664), P(7.859272480010986, 12.258098602294922), P(4.380006313323975, 12.258152961730957), P(5.669279098510742, 12.258152961730957), P(12.48253345489502, 12.258152961730957), P(16.453216552734375, 12.258152961730957), P(18.78711700439453, 12.258152961730957)]"
logo_157,533,8,"[50, 337, 26, 20, 20, 20, 6, 54]",337,"[P(4.869057655334473, 10.477234840393066), P(5.8884453773498535, 11.025418281555176), P(11.820520401000977, 11.490789413452148), P(14.616727828979492, 11.493127822875977), P(17.806407928466797, 11.493127822875977), P(8.833639144897461, 11.493155479431152), P(16.983177185058594, 11.693318367004395), P(7.391293525695801, 12.883221626281738)]"
logo_16,106,8,"[6, 6, 21, 21, 13, 12, 16, 11]",21,"[P(5.904582977294922, 9.619003295898438), P(18.09514808654785, 9.619003295898438), P(6.5394439697265625, 11.137616157531738), P(13.804865837097168, 11.137616157531738), P(7.6683244705200195, 11.147561073303223), P(10.816288948059082, 11.147561073303223), P(15.300363540649414, 11.147561073303223), P(16.689693450927734, 11.147561073303223)]"
logo_159,179,8,"[53, 5, 20, 15, 21, 21, 21, 23]",53,"[P(11.180063247680664, 9.233749389648438), P(11.23989486694336, 10.558690071105957), P(10.321327209472656, 12.862082481384277), P(15.142090797424316, 12.864581108093262), P(4.683059215545654, 12.864608764648438), P(11.953863143920898, 12.864608764648438), P(16.415855407714844, 12.864608764648438), P(7.940471649169922, 12.867135047912598)]"
logo_160,181,8,"[53, 7, 20, 15, 21, 21, 21, 23]",53,"[P(10.541487693786621, 8.087361335754395), P(11.184632301330566, 10.424755096435547), P(18.536502838134766, 14.148587226867676), P(14.899514198303223, 14.150978088378906), P(5.211272239685059, 14.151005744934082), P(11.946257591247559, 14.151005744934082), P(16.07942008972168, 14.151005744934082), P(8.228607177734375, 14.15334415435791)]"
logo_161,130,8,"[5, 20, 24, 20, 17, 17, 17, 10]",24,"[P(11.702631950378418, 9.695639610290527), P(5.0319132804870605, 11.557958602905273), P(8.1808443069458, 11.557958602905273), P(16.59964942932129, 11.557958602905273), P(10.58973503112793, 11.574112892150879), P(14.085824966430664, 11.574112892150879), P(19.156503677368164, 11.574112892150879), P(15.463905334472656, 11.576800346374512)]"
logo_165,117,8,"[6, 21, 16, 19, 11, 6, 15, 23]",23,"[P(9.942749977111816, 8.190431594848633), P(12.863325119018555, 11.295121192932129), P(16.853113174438477, 11.8402099609375), P(15.404918670654297, 11.853111267089844), P(18.459348678588867, 11.891816139221191), P(4.395645618438721, 13.670877456665039), P(15.574251174926758, 14.516999244689941), P(16.98830795288086, 14.517000198364258)]"
